Region,# House Index,Address
Sub-Cluster 1.2,48,5290 Bromely Dr
Sub-Cluster 1.2,7,1273 Dubonnet Ct
Sub-Cluster 1.2,58,1280 Dubonnet Ct
Sub-Cluster 1.2,31,1256 Gentilly Pl
Sub-Cluster 1.2,16,1312 Dubonnet Ct
Sub-Cluster 2.4,109,5192 Carmento Dr
Sub-Cluster 2.4,96,5340 Carmento Dr
Sub-Cluster 2.4,100,5384 Carmento Dr
Sub-Cluster 2.4,146,5379 Carmento Dr
Sub-Cluster 2.4,131,5185 Pesto Way
Sub-Cluster 3.3,3,676 Cervantes Ct
Sub-Cluster 3.3,74,576 Calle De Las Ovejas
Sub-Cluster 3.3,19,615 Calle Seguro
Sub-Cluster 3.3,25,632 Calle Aragon
Sub-Cluster 3.3,61,529 El Azur Cir
Sub-Cluster 4.1,88,6340 Ballantine Pl
Sub-Cluster 4.1,62,6377 Marquis Ct
Sub-Cluster 4.1,54,6239 Marquis
Sub-Cluster 4.1,15,924 Lambourne Pl
Sub-Cluster 4.1,27,6572 Deerbrook
Sub-Cluster 5.2,184,6401 Pinion St
Sub-Cluster 5.2,43,6433 Smoke Tree Ave
Sub-Cluster 5.2,92,6428 Smoke Tree Ave
Sub-Cluster 5.2,202,6372 Pinion St
Sub-Cluster 5.2,4,6498 Trefoil Ave
